Scopus Source ID,Title,Citation Count,Scholarly Output,Percent Cited,CiteScore 2020,SNIP,SJR,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Percentile,RANK,Rank Out Of,Publisher,Type,Open Access,Quartile,Top 10% (CiteScore Percentile),URL Scopus Source ID,Print ISSN,E-ISSN
12358,International Journal of Fuzzy Systems,5273,719,78,7.3,1.279,0.73,1702,Artificial Intelligence,80,45,227,Springer Nature,j, NO,1,FALSE,https://www.scopus.com/sourceid/12358,15622479,21993211
12360,International Journal of General Systems,551,163,71,3.4,1.148,0.482,1706,Computer Science Applications,60,276,693,Taylor & Francis,j, NO,2,FALSE,https://www.scopus.com/sourceid/12360,3081079,15635104
12360,International Journal of General Systems,551,163,71,3.4,1.148,0.482,1710,Information Systems,59,134,329,Taylor & Francis,j, NO,2,FALSE,https://www.scopus.com/sourceid/12360,3081079,15635104
12367,Photogrammetric Record,381,101,59,3.8,1.21,0.638,1706,Computer Science Applications,65,240,693,Wiley-Blackwell,j, NO,2,FALSE,https://www.scopus.com/sourceid/12367,0031868X,14779730
12370,Journal of Computer and System Sciences,1262,281,76,4.5,1.276,0.573,1703,Computational Theory and Mathematics,78,29,133,Elsevier,j, NO,1,FALSE,https://www.scopus.com/sourceid/12370,220000,10902724
12370,Journal of Computer and System Sciences,1262,281,76,4.5,1.276,0.573,1705,Computer Networks and Communications,72,93,334,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12370,220000,10902724
12373,Journal of Computer Information Systems,878,174,74,5,1.244,0.632,1705,Computer Networks and Communications,77,77,334,Taylor & Francis,j, NO,1,FALSE,https://www.scopus.com/sourceid/12373,8874417,
12373,Journal of Computer Information Systems,878,174,74,5,1.244,0.632,1710,Information Systems,76,78,329,Taylor & Francis,j, NO,1,FALSE,https://www.scopus.com/sourceid/12373,8874417,
12396,Journal of Strategic Information Systems,1371,79,87,17.4,4.544,3.133,1710,Information Systems,98,6,329,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12396,9638687,
12398,Journal of Systems Architecture,2064,366,83,5.6,1.365,0.598,1708,Hardware and Architecture,74,41,157,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12398,13837621,
12398,Journal of Systems Architecture,2064,366,83,5.6,1.365,0.598,1712,Software,72,107,389,Elsevier,j, NO,2,FALSE,https://www.scopus.com/sourceid/12398,13837621,
12402,MIS Quarterly: Management Information Systems,3639,247,86,14.7,3.698,5.283,1710,Information Systems,97,8,329,University of Minnesota,j, NO,1,TRUE,https://www.scopus.com/sourceid/12402,2767783,21629730
12402,MIS Quarterly: Management Information Systems,3639,247,86,14.7,3.698,5.283,1706,Computer Science Applications,97,18,693,University of Minnesota,j, NO,1,TRUE,https://www.scopus.com/sourceid/12402,2767783,21629730
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1706,Computer Science Applications,68,221,693,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1710,Information Systems,67,107,329,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1711,Signal Processing,64,39,108,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1708,Hardware and Architecture,60,63,157,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1702,Artificial Intelligence,58,94,227,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12409,Multidimensional Systems and Signal Processing,1463,361,73,4.1,0.919,0.337,1712,Software,58,162,389,Springer Nature,j, NO,2,FALSE,https://www.scopus.com/sourceid/12409,9236082,15730824
12415,"International Journal of Reliability, Quality and Safety Engineering",222,128,50,1.7,0.559,0.248,1700,Computer Science (all),47,120,226,World Scientific,j, NO,3,FALSE,https://www.scopus.com/sourceid/12415,2185393,17936446
12419,International Journal of Systems Science,4941,1013,74,4.9,0.833,0.591,1706,Computer Science Applications,73,183,693,Taylor & Francis,j,NO,2,FALSE,https://www.scopus.com/sourceid/12419,207721,14645319
12424,Inverse Problems in Science and Engineering,909,336,65,2.7,0.993,0.426,1706,Computer Science Applications,53,324,693,Taylor & Francis,j, NO,2,FALSE,https://www.scopus.com/sourceid/12424,17415977,17415985
12443,Real-Time Systems,400,77,82,5.2,1.477,0.442,1705,Computer Networks and Communications,77,75,334,Springer Nature,j, YES,1,FALSE,https://www.scopus.com/sourceid/12443,9226443,15731383
12443,Real-Time Systems,400,77,82,5.2,1.477,0.442,1706,Computer Science Applications,75,167,693,Springer Nature,j, YES,1,FALSE,https://www.scopus.com/sourceid/12443,9226443,15731383
12492,Journal of Information Science and Engineering,415,312,43,1.3,0.517,0.195,1709,Human-Computer Interaction,27,88,120,Institute of Information Science,j, NO,3,FALSE,https://www.scopus.com/sourceid/12492,10162364,
12492,Journal of Information Science and Engineering,415,312,43,1.3,0.517,0.195,1703,Computational Theory and Mathematics,25,100,133,Institute of Information Science,j, NO,3,FALSE,https://www.scopus.com/sourceid/12492,10162364,
12492,Journal of Information Science and Engineering,415,312,43,1.3,0.517,0.195,1712,Software,19,314,389,Institute of Information Science,j, NO,4,FALSE,https://www.scopus.com/sourceid/12492,10162364,
12492,Journal of Information Science and Engineering,415,312,43,1.3,0.517,0.195,1708,Hardware and Architecture,17,130,157,Institute of Information Science,j, NO,4,FALSE,https://www.scopus.com/sourceid/12492,10162364,
12667,High Technology Letters,91,232,26,0.4,0.236,0.131,1710,Information Systems,8,300,329,Science Press,j, NO,4,FALSE,https://www.scopus.com/sourceid/12667,10066748,
12689,Information Processing and Management,4676,541,82,8.6,3.126,1.061,1710,Information Systems,91,29,329,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12689,3064573,18735371
12689,Information Processing and Management,4676,541,82,8.6,3.126,1.061,1706,Computer Science Applications,90,63,693,Elsevier,j, NO,1,TRUE,https://www.scopus.com/sourceid/12689,3064573,18735371
12709,Information Technology and Libraries,137,104,44,1.3,1.252,0.502,1710,Information Systems,29,232,329,American Library Association,j, YES,3,FALSE,https://www.scopus.com/sourceid/12709,7309295,21635226
12753,International Game Theory Review,83,101,33,0.8,0.503,0.216,1700,Computer Science (all),20,180,226,World Scientific,j, NO,4,FALSE,https://www.scopus.com/sourceid/12753,2191989,17936675
12754,International Journal of COMADEM,35,119,20,0.3,0.179,0.127,1711,Signal Processing,6,102,108,COMADEM International,j, NO,4,FALSE,https://www.scopus.com/sourceid/12754,13637681,
12763,International Journal of Technology Management,305,152,52,2,0.652,0.368,1706,Computer Science Applications,42,398,693,Inderscience Publishers,j, NO,3,FALSE,https://www.scopus.com/sourceid/12763,2675730,17415276
12794,Journal of Documentation,911,324,65,2.8,1.245,0.675,1710,Information Systems,52,158,329,Emerald,j, NO,2,FALSE,https://www.scopus.com/sourceid/12794,220418,
12795,Perception,768,325,59,2.4,0.81,0.619,1702,Artificial Intelligence,36,145,227,SAGE,j, NO,3,FALSE,https://www.scopus.com/sourceid/12795,3010066,14684233
12813,Journal of Information Science,1223,209,82,5.9,1.726,0.499,1710,Information Systems,79,67,329,SAGE,j, NO,1,FALSE,https://www.scopus.com/sourceid/12813,1655515,17416485
