 Arokia Renjit J.	['Zhang J.', 'Feng J.', 'Chen Z.', 'Williams R.J.', 'Xiao H.', 'Huang M.', 'Hao Y.', 'Zhu X.', 'Xiao H.', 'Huang M.', 'Zhu X.', 'Xiong W.', 'Hoang T.', 'Wang W.Y.', 'Yang F.', 'Yang Z.', 'Cohen W.W.', 'Yang B.', 'Yih W.', 'He X.', 'Gao J.', 'Deng L.', 'Zhang Y.', 'Yao Q.', 'Dai W.', 'Chen L.', 'Zheng S.', 'Wang F.', 'Bao H.', 'Hao Y.', 'Zhou P.', 'Xu B.', 'Zhu Y.', 'Liu H.', 'Wu Z.', 'Song Y.', 'Zhang T.', 'Abe H.']
 Arora N.	['Riesenhuber M.', 'Poggio T.', 'Rikhye R.V.', 'Gilra A.', 'Halassa M.M.', 'Rose N.S.', 'Rocque J.J.', 'Riggall A.C.', 'Gosseries O.', 'Starrett M.J.', 'Meyering E.E.', 'Sandamirskaya Y.', 'Zibner S.K.', 'Schneegans S.', 'Silver D.', 'Huang A.', 'Maddison C.J.', 'Guez A.', 'Sifre L.', 'Driessche G.', 'Stewart T.C.', 'Bekolay T.', 'Eliasmith C.', 'Stokes M.G.', 'Sukhbaatar S.', 'Weston J.', 'Fergus R.', 'Sylvester J.', 'Reggia J.', 'Sylvester J.', 'Reggia J.', 'Weems S.', 'Bunting M.', 'Vaswani A.', 'Shazeer N.', 'Parmar N.', 'Uszkoreit J.', 'Jones L.', 'Gomez A.N.', 'Vecoven N.', 'Ernst D.', 'Wehenkel A.', 'Drion G.', 'Velde F.', 'Kamps M.D.', 'Witkin A.P.', 'Tenenbaum J.M.', 'Yamashita Y.', 'Tani J.', 'Baesens B.', 'Roesch D.', 'Scheule H.', 'Batuwita R.', 'Palade V.', 'Bravo C.', 'Maldonado S.', 'Bravo C.', 'Maldonado S.', 'Weber R.', 'Breunig M.M.', 'Ng R.T.', 'Sander J.', 'Castermans G.', 'Martens D.', 'Gestel T.V.', 'Hamers B.', 'Baesens B.', 'Cena A.', 'Gagolewski M.', 'Chaudhuri A.', 'De K.', 'Cieslak D.A.', 'Chawla N.V.', 'Dangl T.', 'Halling M.', 'Dheeru D.', 'Taniskidou E.', 'Ditzler G.', 'Roveri M.']
 Arrieta A.G.	['Mewhort D.J.K.', 'Franklin S.', 'Madl T.', 'Strain S.', 'Faghihi U.', 'Dong D.', 'Kugele S.', 'Snaider J.', 'Chen S.', 'Fredrickson B.L.', 'Gayler R.W.', 'Gonzalez C.', 'Asher N.', 'Austin TX', 'Gonzalez C.', 'Lerch J.F.', 'Lebiere C.', 'Griffiths T.L.', 'Steyvers M.', 'Tenenbaum J.B.', 'Heathcote A.', 'Brown S.', 'Mewhort D.J.K.', 'Hertwig R.', 'Barron G.', 'Weber E.U.', 'Erev I.', 'Hintzman D.L.', 'Jamieson R.K.', 'Avery J.E.', 'Johns B.T.', 'Jones M.N.', 'Jamieson R.K.', 'Crump M.J.C.', 'Hannah S.D.', 'Johns B.T.', 'Jones M.N.', 'Mewhort D.J.K.', 'Austin TX']
 Artikis A.	['Agarwal B.', 'Poria S.', 'Mittal N.', 'Gelbukh A.', 'Hussain A.', 'Boiy E.', 'Balahur A.', 'Turchi M.', 'Basiri M.E.', 'Kabiri A.', 'Rashed F.', 'Abdolvand N.', 'Razavi S.A.', 'Asadpour M.', 'Aleahmad A.', 'Hakimian P.', 'Mahdikhani F.', 'Oroumchian F.', 'Dashtipour K.', 'Gogate M.', 'Adeel A.', 'Ieracitano C.', 'Larijani H.', 'Hussain A.', 'Windfuhr G.L.', 'Sutton L.P.', 'Santos C.', 'Gatti M.', 'Poria S.', 'Cambria E.', 'Howard N.', 'Hussain A.', 'Gogate M.', 'Adeel A.', 'Hussain A.', 'Gogate M.', 'Adeel A.', 'Hussain A.', 'Wang Y.', 'Huang M.', 'Zhao L.', 'Basiri M.E.', 'Kabiri A.', 'Alimardani S.', 'Sumathy K.', 'Chidambaram M.', 'Reynolds D.A.', 'Dashtipour K.', 'Hussain A.', 'Zhou Q.', 'Gelbukh A.', 'Hawalah A.Y.', 'Cambria E.', 'Khallash M.', 'Hadian A.', 'Bidgoli B.', 'Kim Y.', 'Dehkharghani R.', 'Yanikoglu B.', 'Tapucu D.', 'Saygin Y.', 'Joulin A.', 'Grave E.', 'Bojanowski P.', 'Mikolov T.', 'Bollacker K.']
 Atkinson A.	['Jia Y.']
 Avila P.	['Lin Z.', 'Lerer A.', 'Pedregosa F.', 'Perozzi B.', 'Rfou R.', 'Skiena S.', 'York NY', 'Qiu J.', 'Dong Y.', 'Ma H.', 'Li J.', 'Wang K.', 'Tang J.', 'Walk LINE', 'Saeys Y.', 'Inza I.', 'Larranaga P.', 'Shchur O.', 'Mumme M.', 'Bojchevski A.', 'Kralj J.', 'Kononenko I.', 'Tang J.', 'Qu M.', 'Mei Q.', 'Tang J.', 'Qu M.', 'Wang M.', 'Zhang M.', 'Yan J.', 'Mei Q.', 'Walt S.', 'Colbert S.C.', 'Varoquaux G.', 'Cucurull G.', 'Casanova A.', 'Romero A.', 'Bengio Y.', 'Wang H.', 'Leskovec J.', 'Stanford CA', 'Wu Z.', 'Pan S.', 'Chen F.', 'Long G.', 'Zhang C.', 'Yu P.S.', 'Xiaojin Z.', 'Zoubin G.', 'Pittsburgh PA', 'Xu K.', 'Hu W.', 'Leskovec J.', 'Jegelka S.', 'Xu K.', 'Li C.', 'Tian Y.', 'Sonobe T.', 'Jegelka S.', 'Zafarani R.', 'Liu H.', 'Zhang Z.', 'Cui P.', 'Zhu W.', 'Zhou T.']
 Ayguade E.	['Goswami U.', 'Brown A.L.', 'Halford G.S.', 'Wilson W.H.', 'Phillips S.', 'Hayes B.K.', 'Thompson S.P.', 'Hinton G.', 'Hofstadter D.', 'Hummel J.E.', 'Holyoak K.J.', 'Hummel J.E.', 'Holyoak K.J.', 'Kollias P.', 'Clelland J.L.', 'Lampinen A.', 'Hsu S.', 'Clelland J.L.', 'Leech R.', 'Mareschal D.', 'Cooper R.', 'Lu H.', 'Wu Y.N.', 'Holyoak K.J.', 'Morrison R.G.', 'Doumas L.A.A.', 'Richland L.E.', 'Morrison R.', 'Krawczyk D.', 'Holyoak K.', 'Hummel J.']
 Baader F.	['Domingos P.', 'Maaten L.V.D.', 'Hinton G.', 'Armstrong D.M.', 'Barlett P.L.', 'Mendelson S.', 'Goodfellow I.', 'Bengio Y.', 'Courville A.', 'Goodman N.', 'Harman G.', 'Kulkarni S.', 'Orallo J.', 'Orallo J.', 'Dowe D.L.', 'Hornik K.', 'Stinchcombe M.', 'White H.', 'Lewis D.K.', 'Nagel T.', 'Nagel T.', 'Price H.', 'Price H.', 'Quine W.V.O.', 'Schmidhuber J.', 'Shea N.', 'Vapnik V.N.', 'Vapnik V.N.', 'Chervonenkis A.Y.', 'Witten I.H.', 'Frank E.', 'Hall M.A.', 'Pal C.J.', 'Zhang C.', 'Bengio S.', 'Hardt M.', 'Recht B.', 'Vinyals O.', 'Malm L.A.', 'Hultman A.', 'Enstrom J.', 'Yan X.P.']
 Balamash A.	['Durugkar I.', 'Sheth A.P.', 'Meza B.', 'Simonyan K.', 'Zisserman A.', 'He K.', 'Zhang X.', 'Ren S.', 'Sun J.', 'Ren S.', 'He K.', 'Girshick R.', 'Sun J.', 'Zheng P.', 'Wu X.', 'Antol S.', 'Agrawal A.', 'Lu J.', 'Mitchell M.', 'Batra D.', 'Zitnick C.L.', 'Parikh D.', 'Goyal Y.', 'Khot T.', 'Stay D.', 'Batra D.', 'Parikh D.', 'Vinyals O.']
 Banzhaf W.	['Chow T.', 'Miller B.', 'Knowlton B.', 'Opfer J.E.', 'Bulloch M.J.', 'Penn D.', 'Holyoak K.', 'Povinelli D.', 'Piaget J.', 'Rattermann M.', 'Gentner D.', 'Rogers T.T.', 'Clelland J.L.', 'Rogers T.T.', 'Clelland J.L.', 'Rumelhart D.', 'Sloutsky V.M.', 'Deng W.', 'Fisher A.V.', 'Kloos H.', 'Tarlowski A.', 'Thibodeau P.H.', 'Flusberg S.J.', 'Glick J.J.', 'Sternberg D.A.', 'Alam M.R.', 'Reaz M.B.I.', 'Ali M.A.M.', 'Apthorpe N.', 'Shvartzshnaider Y.', 'Mathur A.', 'Reisman D.', 'Feamster N.', 'Aztiria A.', 'Augusto J.C.', 'Basagoiti R.', 'Izaguirre A.', 'Cook D.J.', 'Barkhuus L.', 'Dey A.K.', 'Brackenbury W.', 'Deora A.']
